fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;-1;0.064019;0.266236;2.490432;0.621454;-0.624107;-0.406356;0.000000;0.000442;-0.003327;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;1;0.036739;0.259222;2.507690;0.244749;-0.984831;0.997791;0.000000;-0.027787;0.013931;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;-1;0.066848;0.262373;2.512392;-0.578973;-0.512512;-0.593421;0.000000;0.004742;0.018634;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;1;0.063137;0.270888;2.490634;0.979926;0.112334;0.983857;0.000000;0.004997;-0.003124;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;-1;0.069450;0.292583;2.444277;-0.529288;0.114049;-0.105902;0.000000;-0.027271;-0.049481;0.063706;0.265923;2.493758
-3141593;-1;-1073741569;1;0.082074;0.254515;2.503644;0.154716;0.249102;0.176752;0.000000;-0.021623;0.009886;0.063706;0.265923;2.493758
-3141593;-1;-1073741569;-1;0.074549;0.329571;2.556278;0.279469;-0.047612;-0.252260;0.000000;0.064565;0.062520;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;1;0.071270;0.219096;2.528541;0.577821;0.093341;0.335801;0.000000;-0.047435;0.034782;0.063706;0.265923;2.493758
-3141593;-1;-1073741569;-1;0.070507;0.309269;2.611817;0.205095;-0.032183;-0.139909;0.000000;0.043876;0.118059;0.063706;0.265923;2.493758
-3141593;-1;-1073737473;1;0.066580;0.248326;2.461323;0.460544;0.075239;-0.518150;0.000000;-0.017830;-0.032436;0.063706;0.265923;2.493758
-3141593;-1;-1073737481;-1;0.056317;0.091711;2.772161;-0.386584;0.016396;0.404488;0.000000;0.174369;0.278402;0.063706;0.265923;2.493758
-3141593;-1;-1073737481;1;-0.012093;0.291340;2.378994;-0.121943;-0.363660;-0.530575;0.000000;-0.079946;-0.114764;0.063706;0.265923;2.493758
-3141593;-1;-1073741577;-1;-0.132409;0.269518;2.588168;-0.004569;-0.249276;-0.374836;0.000000;-0.196148;0.094410;0.063706;0.265923;2.493758
-3141593;-1;-1073741569;1;0.019234;0.263489;2.389856;0.007547;-0.137865;-0.112244;0.000000;-0.044538;-0.103902;0.063706;0.265923;2.493758
-3141593;-1;-1006632705;-1;-0.691786;-0.082634;2.957836;0.061393;-0.133068;-0.016341;0.000001;-0.832022;0.464077;0.063706;0.265923;2.493758
