fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737481;1;0.057132;0.271157;11.302174;-0.502949;-1.107189;0.666044;0.000000;-0.011489;-0.063918;0.067592;0.266405;11.366092
-3141593;-1;-1073737481;1;0.061392;0.278829;11.356236;-0.774662;-0.386622;-0.171464;0.000000;-0.013885;-0.009856;0.067592;0.266405;11.366092
-3141593;-1;-1006632713;1;-0.082213;1.191036;13.082422;-0.384681;-0.062324;-0.025073;0.000000;-0.936687;1.716331;0.067592;0.266405;11.366092
-3141593;-1;-1073737481;-1;0.070132;0.261683;11.356894;-1.074344;-0.577781;-0.002694;0.000000;0.005362;-0.009198;0.067592;0.266405;11.366092
-3141593;-1;-1073696521;-1;0.074576;0.265641;11.381096;0.113922;1.040647;0.629561;0.000000;-0.007026;0.015004;0.067592;0.266405;11.366092
-3141593;-1;-1073696521;1;-0.065228;0.270411;11.334286;-0.022117;-0.733362;0.247685;0.000000;-0.132880;-0.031806;0.067592;0.266405;11.366092
-3141593;-1;-1073737481;-1;0.095511;0.268159;11.447092;0.039943;-0.635962;-0.805437;0.000000;0.027974;0.081000;0.067592;0.266405;11.366092
-3141593;-1;-1073737481;1;0.079957;0.293062;11.322668;-1.200823;0.557026;-0.306242;0.000000;-0.029385;-0.043424;0.067592;0.266405;11.366092
-3141593;-1;-1006628617;-1;0.040468;0.458135;11.160947;-0.637912;-0.090246;-0.573552;0.000000;-0.193639;-0.205144;0.067592;0.266405;11.366092
-3141593;-1;-1073737481;1;0.064164;0.274157;11.347322;-0.895591;-0.396013;-1.628681;0.000000;-0.008476;-0.018770;0.067592;0.266405;11.366092
