fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;1;0.057411;0.292367;2.304694;-0.260339;0.170771;0.027134;0.000000;-0.022631;-0.003297;0.044998;0.273444;2.307991
-3141593;-1;-1006628617;-1;0.097773;0.366400;-5.040858;1.234735;-0.701009;-1.081355;0.000000;0.106893;-7.348849;0.044998;0.273444;2.307991
-3141593;-1;-1073737481;-1;0.038607;0.254138;2.305416;-0.471739;0.156170;-0.307351;0.000000;0.020337;-0.002574;0.044998;0.273444;2.307991
-3141593;-1;-1006632705;1;-0.389541;0.898071;2.305766;0.197415;0.137337;-0.213898;0.000002;0.760910;-0.002225;0.044998;0.273444;2.307991
-3141593;-1;-1006632713;1;1.971663;0.026427;1.835482;-0.038215;-0.298064;-0.174446;0.000002;1.942435;-0.472508;0.044998;0.273444;2.307991
-3141593;-1;-1006628617;1;0.602746;0.322649;-5.578876;0.059145;-0.670420;-0.533929;0.000000;0.559914;-7.886867;0.044998;0.273444;2.307991
-3141593;-1;-1006628617;1;0.037432;0.270825;-5.280293;-0.742060;2.144047;-0.977314;0.000000;0.008007;-7.588284;0.044998;0.273444;2.307991
-3141593;-1;-1006628617;1;0.086249;0.349358;-5.645258;0.775347;-0.421317;-0.607437;0.000000;0.086398;-7.953249;0.044998;0.273444;2.307991
-3141593;-1;-1006632705;1;1.205162;0.074685;-5.030381;-0.035871;-0.209379;0.198538;0.000002;1.177066;-7.338372;0.044998;0.273444;2.307991
-3141593;-1;-1073737481;-1;0.033916;0.268132;2.347462;0.263056;-0.548807;0.865827;0.000000;-0.012290;0.039472;0.044998;0.273444;2.307991
-3141593;-1;-1073741569;1;0.029694;0.282599;2.337660;0.125116;0.209150;0.251207;0.000000;0.017833;0.029669;0.044998;0.273444;2.307991
-3141593;-1;-1073741569;-1;0.034594;0.293407;2.376441;-0.120867;-0.062995;0.025069;0.000000;-0.022511;0.068451;0.044998;0.273444;2.307991
-3141593;-1;-1006628617;-1;0.085702;0.235556;-4.280674;-0.377679;-0.405741;0.284637;0.000004;0.055608;-6.588664;0.044998;0.273444;2.307991
-3141593;-1;-1006628609;-1;1.118765;0.600563;-4.707665;0.102691;-0.337082;0.218718;0.000000;1.122489;-7.015656;0.044998;0.273444;2.307991
