fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073696513;-1;0.056348;0.252304;7.200247;-0.547602;-0.422132;0.033370;0.000000;0.004798;0.003597;0.053419;0.256104;7.196650
-3141593;-1;-1073696513;-1;0.065663;0.254147;7.161541;0.063771;0.399023;-0.307098;0.000000;-0.012399;-0.035109;0.053419;0.256104;7.196650
-3141593;-1;-1006632705;1;-1.044450;0.152615;3.512755;-0.026057;0.276422;-0.328736;0.000000;1.102735;-3.683895;0.053419;0.256104;7.196650
-3141593;-1;-1073737473;-1;0.040186;0.259901;7.193992;0.098885;0.344613;0.219459;0.000000;0.013767;-0.002658;0.053419;0.256104;7.196650
