fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073210369;-1;0.071902;0.259577;-14.434823;0.578407;0.150993;0.597352;0.000000;-0.013779;-0.031931;0.068421;0.272909;-14.402892
-3141593;-1;-536346113;1;0.082343;0.272344;-14.389933;0.011441;0.282020;0.125761;0.000000;-0.013933;0.012959;0.068421;0.272909;-14.402892
-3141593;-1;-1073213185;-1;0.063974;0.290026;-14.358778;-0.724338;-0.188185;0.860586;0.000007;-0.017686;0.044114;0.068421;0.272909;-14.402892
-3141593;-1;-536346369;-1;0.064726;0.274433;-14.440129;0.097671;0.236829;0.125312;0.000000;0.003997;-0.037238;0.068421;0.272909;-14.402892
-3141593;-1;-1073213185;1;-0.000737;0.272747;-14.477587;0.000750;-0.319877;0.375681;0.000000;-0.069159;-0.074694;0.068421;0.272909;-14.402892
-3141593;-1;-536346369;-1;0.009052;0.266521;-14.604239;0.020391;-0.189500;0.202645;0.000000;-0.059712;-0.201347;0.068421;0.272909;-14.402892
