fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073213185;-1;0.056666;0.275714;3.662249;0.332725;0.549181;0.182631;0.000000;0.008071;0.071483;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;1;0.045665;0.216239;3.653327;0.814014;-0.263598;0.155103;0.000000;-0.058119;0.062561;0.063570;0.271531;3.590766
-3141593;-1;-536346369;1;-0.358074;-0.619579;0.850182;-0.438764;0.207608;0.169668;0.000000;0.985829;-2.740584;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.052367;0.311982;3.557712;-0.659115;-0.182541;-0.097964;0.000000;-0.041973;-0.033054;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.063687;0.274861;3.578808;-0.843870;0.029762;0.709355;0.000000;-0.003332;-0.011958;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.061945;0.277824;8.829469;0.576176;0.148713;-0.297576;0.000000;0.006499;5.238703;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.077471;0.285685;3.618645;-0.659096;0.647357;-0.589604;0.000000;-0.019839;0.027880;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;1;0.095780;0.179560;3.661762;-0.499380;-0.174892;-0.167419;0.000000;0.097449;0.070997;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;-1;0.253606;0.970114;4.034141;0.640869;-0.174337;-0.086223;0.000000;0.723969;0.443375;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.060012;0.275826;3.594573;0.459708;0.380850;-0.268658;0.000000;0.005577;0.003807;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.062764;0.271650;3.602983;0.130014;0.884504;-0.629877;0.000000;0.000815;0.012217;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;-1;0.055841;0.275700;3.595695;-0.510450;-0.946335;0.794592;0.000000;-0.008781;0.004929;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;-1;0.066235;0.267694;3.596059;1.954024;1.357394;1.379897;0.000000;-0.004672;0.005293;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.058466;0.269527;3.579086;-0.462719;1.178449;0.555487;0.000000;0.005483;-0.011680;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;1;0.075456;1.387313;2.972770;1.071610;-0.011416;-0.575559;0.000000;1.115845;-0.617996;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;-1;0.063543;0.271546;3.588086;-0.376995;-0.693784;0.584618;0.000000;-0.000030;-0.002679;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;-1;0.078564;0.258924;3.584902;-0.907297;-1.079104;-1.061755;0.000000;0.019590;-0.005864;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;-1;0.067020;0.271203;3.593977;0.262873;2.762385;-1.126766;0.000000;-0.003466;0.003211;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.058860;0.274856;3.586930;-0.670492;-0.949765;-0.766979;0.000000;-0.005764;-0.003836;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;1;0.060947;0.276521;3.597474;-1.573970;-0.827351;0.523272;0.000000;-0.005637;0.006709;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.063498;0.271574;3.595794;1.336387;2.232955;1.718831;0.000000;0.000083;0.005029;0.063570;0.271531;3.590766
-3141593;-1;-536346377;-1;0.034133;0.317705;3.595162;0.244713;0.156010;-0.008130;0.000002;0.054759;0.004396;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;-1;0.053834;0.269151;3.573662;-0.189065;0.773370;-0.441901;0.000000;0.010022;-0.017104;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;1;0.066279;0.272819;3.565145;-0.474399;0.997970;0.389167;0.000000;-0.003000;-0.025621;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;-1;0.056802;0.243727;3.522802;1.080252;-0.262949;0.193395;0.000007;-0.028616;-0.067964;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;-1;0.065429;0.281564;3.723013;1.073389;-0.198920;0.720769;0.000000;0.010204;0.132247;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;1;0.054006;0.282340;3.573064;0.831631;0.735811;0.113925;0.000000;0.014432;-0.017702;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.065290;0.271051;3.597149;0.985534;3.532072;3.506278;0.000000;-0.001787;0.006383;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;1;0.057347;0.274239;3.644554;-1.124457;-2.584573;-2.314491;0.000000;-0.006786;0.053788;0.063570;0.271531;3.590766
-3141593;-1;-1073213313;-1;0.075404;0.259333;3.637555;-0.555451;-0.538888;0.766257;0.000000;0.016996;0.046789;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;-1;0.064035;0.270722;3.589259;-0.937996;-0.538965;0.879959;0.000000;0.000933;-0.001507;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;-1;0.060096;0.274628;3.495969;-0.973866;-1.092191;1.077512;0.000000;-0.004653;-0.094797;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;1;0.062730;0.270994;3.587584;0.241585;-0.377251;0.020152;0.000000;-0.000997;-0.003181;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;1;0.063200;0.271755;3.588993;0.477088;0.786845;0.710222;0.000000;0.000432;-0.001773;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;-1;0.067425;0.272429;3.592455;-0.243322;1.044875;0.428999;0.000000;-0.003958;0.001689;0.063570;0.271531;3.590766
-3141593;-1;-1073172225;1;0.056037;0.273269;3.589517;0.321853;1.394807;-0.890621;0.000000;0.007731;-0.001249;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;-1;0.068467;0.277422;3.560123;0.931737;-0.774688;0.380712;0.000008;0.007661;-0.030643;0.063570;0.271531;3.590766
-3141593;-1;-1073169409;-1;0.067386;0.263603;3.606828;-0.814764;-0.392152;0.179004;0.000000;0.008799;0.016062;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.062085;0.272012;3.575581;-0.353754;-1.091991;0.696202;0.000000;-0.001561;-0.015185;0.063570;0.271531;3.590766
-3141593;-1;-1073213185;-1;0.080780;0.265331;3.626115;-0.290056;-0.805104;0.181759;0.000000;0.018293;0.035349;0.063570;0.271531;3.590766
-3141593;-1;-1073210369;1;0.064583;0.281796;3.612916;-1.021774;0.100917;-0.584796;0.000000;-0.010315;0.022150;0.063570;0.271531;3.590766
