fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073696521;-1;0.022165;0.144263;-2.661501;0.797115;-0.272327;-0.018995;0.000000;-0.125276;0.117370;0.062667;0.262812;-2.778871
-3141593;-1;-1073737481;-1;0.090737;0.242038;-2.727280;-0.380376;-0.513978;0.048610;0.000000;0.034921;0.051591;0.062667;0.262812;-2.778871
-3141593;-1;-1073737481;1;0.065365;0.264057;-2.784802;0.277125;-0.600723;-0.122602;0.000000;0.002972;-0.005931;0.062667;0.262812;-2.778871
-3141593;-1;-1073741577;1;0.112624;0.260569;-2.720710;-0.010323;-0.229945;-0.006803;0.000002;0.050008;0.058161;0.062667;0.262812;-2.778871
