fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737481;-1;0.057159;0.274085;-0.514506;-0.602476;-0.224259;-0.192695;0.000000;-0.007917;0.009408;0.059921;0.266665;-0.523914
-3141593;-1;-1073696521;-1;0.065792;0.270996;-0.513580;-0.412189;0.558715;-0.202318;0.000000;-0.007296;0.010334;0.059921;0.266665;-0.523914
-3141593;-1;-1073737481;1;0.057300;0.267591;-0.525667;0.131158;0.370987;0.155127;0.000000;0.002780;-0.001753;0.059921;0.266665;-0.523914
-3141593;-1;-1006632713;1;0.385035;0.722609;-0.945768;0.231782;-0.165274;-0.061058;0.000000;0.559986;-0.421854;0.059921;0.266665;-0.523914
-3141593;-1;-1073696521;1;0.057700;0.254429;-0.560847;-0.487856;0.088568;-0.317365;0.000000;0.012435;-0.036932;0.059921;0.266665;-0.523914
-3141593;-1;-1073741577;-1;0.043490;0.259069;-0.529989;0.058854;-0.127309;-0.146276;0.000000;-0.018102;-0.006075;0.059921;0.266665;-0.523914
