fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;-1;0.056164;0.263572;2.212824;-1.208204;0.144426;1.054781;0.000000;-0.003713;0.011975;0.055723;0.259886;2.200849
-3141593;-1;-1006628617;1;0.061669;0.283900;2.457700;-0.963542;0.238575;0.445654;0.000007;-0.024740;0.256852;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;-1;0.063589;0.255556;2.196894;-0.512154;-0.930519;-0.426440;0.000000;0.008979;-0.003955;0.055723;0.259886;2.200849
-3141593;-1;-1006587657;1;0.214708;0.091244;1.641005;0.909319;0.857253;-0.404543;0.000000;-0.231767;-0.559844;0.055723;0.259886;2.200849
-3141593;-1;-1006628617;-1;0.131383;0.248285;2.966619;0.163830;1.068477;-0.468221;0.000000;-0.076545;0.765770;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;0.141304;0.239922;2.211489;-0.158155;-0.677969;-0.156329;0.000000;0.087879;0.010641;0.055723;0.259886;2.200849
-3141593;-1;-1006628609;-1;0.070594;0.257995;8.333050;0.071981;0.566073;-0.591339;0.000000;-0.014991;6.132201;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;0.055942;0.259387;2.199456;-0.872789;-0.383512;0.973669;0.000000;0.000544;-0.001393;0.055723;0.259886;2.200849
-3141593;-1;-1073696513;-1;0.047324;0.258866;2.209066;0.101153;-0.832813;-0.087721;0.000000;-0.008460;0.008218;0.055723;0.259886;2.200849
-3141593;-1;-1073737481;-1;0.089130;0.240376;2.130992;-0.201132;-0.344410;-0.073693;0.000000;0.038687;-0.069857;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;0.053442;0.261129;2.214151;0.234081;0.429529;-0.506236;0.000000;0.002598;0.013302;0.055723;0.259886;2.200849
-3141593;-1;-1006587649;-1;-0.083610;0.323869;2.268588;-0.499487;-1.087710;0.646131;0.000000;-0.153321;0.067739;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;-1;0.039593;0.246521;2.230899;-0.228650;0.275965;-0.315759;0.000000;0.020947;0.030050;0.055723;0.259886;2.200849
-3141593;-1;-1073696513;-1;0.058465;0.257190;2.205695;0.632041;0.642945;0.198045;0.000000;-0.003845;0.004846;0.055723;0.259886;2.200849
-3141593;-1;-1006587649;-1;0.489277;0.611499;8.247812;-0.209828;0.258726;-0.229651;0.000003;-0.558212;6.046964;0.055723;0.259886;2.200849
-3141593;-1;-1006632705;1;0.056622;0.261450;8.283916;-0.280292;0.161162;-0.151344;0.000000;-0.001805;6.083068;0.055723;0.259886;2.200849
-3141593;-1;-1073737481;1;0.047042;0.253723;2.175563;0.520623;-0.733361;1.112374;0.000000;-0.010646;-0.025286;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;-1;0.036234;0.191832;2.131568;0.853065;-0.244295;-0.978771;0.000000;-0.070789;-0.069281;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;1;0.055127;0.259179;2.188345;0.247033;-0.208351;-0.049499;0.000000;-0.000925;-0.012504;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;0.057795;0.258929;2.246024;-0.117377;-0.254309;0.238071;0.000000;0.002282;0.045175;0.055723;0.259886;2.200849
-3141593;-1;-1073737481;-1;0.055557;0.262982;2.185267;-1.138720;-0.060940;1.236238;0.000000;-0.003101;-0.015581;0.055723;0.259886;2.200849
-3141593;-1;-1006587649;1;0.063705;0.267632;8.329134;0.363248;-0.374289;-0.237706;0.000000;0.011123;6.128285;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;-1;0.054120;0.269920;2.202074;-0.383603;-0.061272;-0.204052;0.000000;-0.010161;0.001225;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;-0.004161;0.298742;2.273701;-0.109343;-0.168517;0.090576;0.000000;-0.071386;0.072852;0.055723;0.259886;2.200849
-3141593;-1;-1073741577;-1;0.078540;0.278750;2.226615;0.170172;-0.205823;-0.247021;0.000000;0.029605;0.025766;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;-0.016965;0.207517;2.281500;-0.217458;0.301830;0.162703;0.000000;0.089588;0.080651;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;0.048572;0.289175;2.177633;0.272036;0.066414;0.158094;0.000000;0.030149;-0.023216;0.055723;0.259886;2.200849
-3141593;-1;-1006628609;-1;-0.477105;0.288850;2.216889;-0.020152;-0.370714;0.378707;0.000000;-0.533615;0.016041;0.055723;0.259886;2.200849
-3141593;-1;-1006587649;1;0.060770;0.264368;8.313061;1.068056;-1.202770;-0.649575;0.000000;0.006750;6.112212;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;-0.040180;0.346932;2.144429;-0.264967;-0.291928;-0.163148;0.000000;-0.129516;-0.056420;0.055723;0.259886;2.200849
-3141593;-1;-1073696513;1;0.057379;0.249463;2.156302;0.673953;0.107122;-0.606854;0.000000;-0.010553;-0.044546;0.055723;0.259886;2.200849
-3141593;-1;-1073737481;-1;0.052749;0.251107;2.212333;-0.392881;0.133103;-0.374942;0.000000;0.009269;0.011484;0.055723;0.259886;2.200849
-3141593;-1;-1006628609;1;0.054082;0.269317;8.326362;1.238643;0.215516;-0.828431;0.000000;0.009573;6.125513;0.055723;0.259886;2.200849
-3141593;-1;-1073737473;1;0.052349;0.259861;2.104972;0.002567;-0.356662;-0.372385;0.000000;-0.003374;-0.095877;0.055723;0.259886;2.200849
-3141593;-1;-1073696513;-1;0.032414;0.250328;2.192147;0.130823;-0.319044;-0.154258;0.000000;-0.025192;-0.008702;0.055723;0.259886;2.200849
-3141593;-1;-1006632705;1;-0.166912;0.361882;1.390375;-0.069369;-0.151416;0.124917;0.000000;-0.244887;-0.810474;0.055723;0.259886;2.200849
-3141593;-1;-1006628609;-1;0.060613;0.267797;8.323663;-0.758288;0.468662;-0.594215;0.000000;-0.009301;6.122814;0.055723;0.259886;2.200849
-3141593;-1;-1006628617;1;-0.300366;0.165795;2.391261;0.075602;-0.286118;-0.357331;0.000000;-0.368310;0.190412;0.055723;0.259886;2.200849
-3141593;-1;-1006632705;-1;-0.633843;1.372905;5.656336;0.150537;0.093264;-0.165731;0.000000;1.309318;3.455488;0.055723;0.259886;2.200849
-3141593;-1;-1006628609;1;0.058770;0.262995;8.329157;-0.747967;0.732932;-0.534804;0.000000;-0.004353;6.128308;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;0.036262;0.243568;2.173077;-0.188402;0.224695;-0.059623;0.000000;0.025397;-0.027771;0.055723;0.259886;2.200849
-3141593;-1;-1073741577;-1;0.094088;0.288865;2.304006;-0.133511;0.176751;0.251662;0.000000;-0.048080;0.103158;0.055723;0.259886;2.200849
-3141593;-1;-1006628617;-1;0.056583;0.274193;8.308574;-0.305111;0.018338;-0.347354;0.000000;-0.014333;6.107725;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;0.009112;0.277552;2.235904;-0.052727;-0.139114;0.101217;0.000000;-0.049847;0.035055;0.055723;0.259886;2.200849
-3141593;-1;-1073741577;1;0.063126;0.268074;2.197269;-0.200052;0.180877;0.347687;0.000000;-0.011038;-0.003579;0.055723;0.259886;2.200849
-3141593;-1;-1006632705;1;0.453849;0.482362;8.370732;-0.077243;0.138228;-0.109377;0.000000;-0.456071;6.169884;0.055723;0.259886;2.200849
-3141593;-1;-1006632705;1;0.023643;0.239580;8.391686;-0.083932;0.132598;-0.037352;0.000001;0.037967;6.190837;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;1;0.207593;0.230022;2.348010;-0.027308;-0.138869;-0.051857;0.000000;0.154779;0.147161;0.055723;0.259886;2.200849
-3141593;-1;-1073741569;-1;-0.119038;0.353146;2.051928;-0.066604;-0.124810;0.008920;0.000000;-0.198088;-0.148921;0.055723;0.259886;2.200849
