fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;1;0.025766;0.262706;-4.924392;-0.243901;-0.321974;0.048108;0.000000;-0.032429;0.079024;0.051615;0.243124;-5.003416
-3141593;-1;-1073696513;-1;0.055958;0.239625;-5.019903;0.482298;0.598658;0.033243;0.000000;-0.005577;-0.016487;0.051615;0.243124;-5.003416
-3141593;-1;-1006628609;1;-0.021786;0.221199;-5.015676;0.540032;-1.807945;2.185913;0.000000;-0.076606;-0.012259;0.051615;0.243124;-5.003416
-3141593;-1;-1073737473;-1;0.046229;0.240949;-4.993847;0.294564;-0.729439;0.019607;0.000000;-0.005810;0.009569;0.051615;0.243124;-5.003416
-3141593;-1;-1073737473;1;0.060218;0.261499;-5.083330;0.508243;-0.237931;0.456664;0.000000;0.020289;-0.079914;0.051615;0.243124;-5.003416
-3141593;-1;-1073737481;1;0.056093;0.243106;-4.996532;0.002419;0.591770;-0.609084;0.000000;-0.004477;0.006884;0.051615;0.243124;-5.003416
-3141593;-1;-1073696513;1;-0.020879;0.319822;-4.981750;-0.303903;-0.287248;0.368327;0.000000;-0.105537;0.021667;0.051615;0.243124;-5.003416
-3141593;-1;-1073741577;-1;0.052089;0.242847;-4.985126;0.140707;0.241012;0.277920;0.000000;-0.000549;0.018290;0.051615;0.243124;-5.003416
-3141593;-1;-1006632705;-1;-1.753124;-0.057671;-7.252101;0.045603;-0.273612;0.138078;0.000000;-1.829635;-2.248686;0.051615;0.243124;-5.003416
-3141593;-1;-1073737473;-1;0.047595;0.239445;-5.009580;0.241448;-0.263849;-0.188178;0.000000;-0.005450;-0.006164;0.051615;0.243124;-5.003416
-3141593;-1;-1006632713;1;0.009367;0.359041;-4.851200;0.689798;0.251410;1.450579;0.000000;0.123376;0.152216;0.051615;0.243124;-5.003416
-3141593;-1;-1073741569;1;0.055151;0.230165;-5.017206;0.128323;0.035007;-0.123953;0.000000;-0.013432;-0.013790;0.051615;0.243124;-5.003416
