fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737481;-1;0.052711;0.235770;1.488478;-0.849826;-0.224003;-0.379325;0.000000;0.007685;-0.014269;0.050753;0.243201;1.502748
-3141593;-1;-1073696521;1;0.003651;0.141879;1.667549;0.844299;-0.392488;0.670541;0.000000;-0.111735;0.164802;0.050753;0.243201;1.502748
-3141593;-1;-1073696521;-1;-0.105745;0.347122;1.137860;-0.224077;-0.337447;-0.139546;0.000003;-0.187859;-0.364888;0.050753;0.243201;1.502748
-3141593;-1;-1006628617;-1;0.098255;0.352174;2.173838;0.284647;-0.124081;0.252243;0.000000;0.118876;0.671091;0.050753;0.243201;1.502748
-3141593;-1;-1073696521;-1;0.051524;0.239046;1.514201;-0.558862;-0.103813;0.322813;0.000000;0.004226;0.011453;0.050753;0.243201;1.502748
-3141593;-1;-1073741577;1;0.029559;0.199740;1.437958;-0.198040;0.096571;0.067877;0.000000;0.048353;-0.064789;0.050753;0.243201;1.502748
-3141593;-1;-1073737481;1;0.033169;0.230405;1.486088;0.191452;-0.263078;0.081869;0.000000;-0.021747;-0.016660;0.050753;0.243201;1.502748
-3141593;-1;-1073696521;1;0.097987;0.226850;1.461444;-0.170409;-0.492262;-0.309028;0.000000;0.049984;-0.041303;0.050753;0.243201;1.502748
-3141593;-1;-1006632713;-1;-0.671158;-0.236556;3.823747;-0.102387;0.154066;0.124066;0.000001;0.866789;2.321000;0.050753;0.243201;1.502748
-3141593;-1;-1073737481;-1;0.144529;0.452825;1.462199;0.486243;-0.217525;0.178197;0.000000;0.229644;-0.040548;0.050753;0.243201;1.502748
