fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737481;1;0.055060;0.274815;13.263224;-0.174199;0.829130;-0.518728;0.000000;-0.001760;-0.000160;0.053338;0.274453;13.263383
-3141593;-1;-1073737481;1;0.183853;0.162365;13.225319;-0.299853;-0.349148;0.003800;0.000000;0.172040;-0.038065;0.053338;0.274453;13.263383
-3141593;-1;-1073696521;-1;0.053171;0.274412;13.263616;-0.264681;1.073726;-0.042948;0.000000;0.000172;0.000232;0.053338;0.274453;13.263383
-3141593;-1;-1073696521;1;0.042247;0.283219;13.255548;0.324774;0.410935;-0.280281;0.000000;0.014137;-0.007836;0.053338;0.274453;13.263383
-3141593;-1;-1073741577;1;0.047840;0.273051;13.276756;-0.067065;0.263073;-0.357432;0.000000;0.005673;0.013373;0.053338;0.274453;13.263383
