fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1006587649;-1;0.421529;0.114239;6.206460;-1.048686;-2.513453;1.040369;0.000000;0.395047;-0.233572;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;-1;0.054950;0.269182;6.409849;0.961594;0.677956;-0.655280;0.000000;0.003458;-0.030184;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;1;0.067095;0.266647;6.416775;0.065414;-2.274051;0.459772;0.000000;0.010156;-0.023257;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;1;0.057538;0.265512;6.443372;-6.319001;-4.460359;3.091276;0.000000;0.001032;0.003340;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;-1;0.073146;0.268511;6.453128;0.565966;-4.254180;1.535367;0.000000;0.016345;0.013096;0.056943;0.266355;6.440032
-3141593;-1;-1006587649;1;0.126590;0.347824;6.247349;1.139152;-0.973850;-1.245270;0.000000;0.107181;-0.192683;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;1;0.022019;0.297106;6.466422;-0.707599;-0.803611;-0.433598;0.000000;-0.046533;0.026389;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;-1;0.055988;0.270646;6.436610;-1.365110;-0.303686;0.472254;0.000000;-0.004396;-0.003422;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;-1;0.047046;0.272050;6.467797;0.182768;0.317623;0.027009;0.000000;0.011419;0.027764;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;-1;0.035306;0.279565;6.438132;-0.270315;-0.442755;0.152306;0.000000;-0.025351;-0.001900;0.056943;0.266355;6.440032
-3141593;-1;-973074177;-1;0.257217;0.458228;6.260161;0.527511;-0.550610;-0.142524;0.000000;0.277353;-0.179871;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;-1;-0.050430;0.229406;6.414618;0.355227;-1.032267;-0.201013;0.000007;-0.113553;-0.025415;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;-1;0.062068;0.393988;6.456422;0.526633;-0.021148;-0.165700;0.000000;0.127735;0.016390;0.056943;0.266355;6.440032
-3141593;-1;-1006587657;1;-1.240674;1.015806;8.105776;0.308185;0.533599;0.191079;0.000000;1.498494;1.665744;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;1;0.045015;0.256974;6.428233;0.271887;-0.345720;-0.085322;0.000000;-0.015175;-0.011800;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;-1;0.061597;0.266985;6.443593;-0.059974;0.443069;-0.011795;0.000000;-0.004696;0.003560;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;1;0.054376;0.262294;6.434822;-1.505998;0.952029;-2.178744;0.000000;0.004804;-0.005210;0.056943;0.266355;6.440032
-3141593;-1;-1073696513;1;0.055187;0.261404;6.435121;-0.546177;0.193786;0.307991;0.000000;0.005253;-0.004911;0.056943;0.266355;6.440032
-3141593;-1;-1073696521;1;0.066397;0.267402;6.435835;-0.128096;1.157010;0.218471;0.000000;-0.009512;-0.004197;0.056943;0.266355;6.440032
-3141593;-1;-1073741569;1;0.028129;0.292310;6.492887;0.175845;0.195214;0.174188;0.000000;0.038780;0.052854;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;1;0.034839;0.292028;6.470702;-0.299710;-0.258048;-0.451144;0.000000;-0.033878;0.030669;0.056943;0.266355;6.440032
-3141593;-1;-1073741569;1;0.096837;0.185463;6.456429;0.152089;0.075006;0.010783;0.000000;-0.090194;0.016397;0.056943;0.266355;6.440032
-3141593;-1;-973078273;1;0.104302;-0.687113;6.493399;0.174493;0.008667;-0.126047;0.000000;-0.954644;0.053367;0.056943;0.266355;6.440032
-3141593;-1;-1073741569;1;0.306530;0.286967;6.475106;0.016939;-0.205110;-0.212291;0.000002;0.250437;0.035073;0.056943;0.266355;6.440032
-3141593;-1;-1073741569;-1;0.056915;0.266326;6.444684;-0.120161;0.113593;-0.007744;0.000000;0.000041;0.004651;0.056943;0.266355;6.440032
-3141593;-1;-1073737473;1;0.055800;0.283800;6.438263;0.673702;0.044137;0.360566;0.000000;0.017482;-0.001769;0.056943;0.266355;6.440032
-3141593;-1;-1073741569;1;0.029002;0.281195;6.545108;0.076590;0.144206;-0.089524;0.000000;0.031638;0.105076;0.056943;0.266355;6.440032
-3141593;-1;-1073741577;-1;-0.012364;0.212627;6.469656;0.089666;-0.115664;-0.162130;0.000001;-0.087693;0.029624;0.056943;0.266355;6.440032
-3141593;-1;-1006632713;-1;-0.737364;0.107815;15.270270;-0.079582;0.398718;-0.843444;0.000000;0.809974;8.830238;0.056943;0.266355;6.440032
