fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;1;0.052338;0.278951;3.110032;0.472621;0.004611;-0.455489;0.000000;0.008664;0.031926;0.052422;0.270287;3.078105
-3141593;-1;-1073737481;-1;0.043371;0.281639;3.012012;-0.423367;-0.337536;-0.762586;0.000000;-0.014519;-0.066093;0.052422;0.270287;3.078105
-3141593;-1;-1073741569;1;0.439629;0.280682;2.741574;0.005278;-0.196605;-0.151339;0.000000;0.387346;-0.336532;0.052422;0.270287;3.078105
