fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;0;-2;3.936991;0.778975;13.237829
0;0;-2;3.935475;0.785478;13.156997
0;0;-2;3.885993;0.997650;10.494526
0;0;-2;3.884331;1.004970;10.452026
0;0;-2;3.883211;1.009849;10.409528
0;0;-2;3.881118;1.018790;10.289111
0;0;-2;3.876156;1.044058;10.971139
0;0;-2;3.875134;1.052252;11.823700
0;1;-2;3.875341;1.090316;6.205120
0;2;-2;3.921225;0.832913;-3.832794
0;2;-2;3.919787;0.840295;-3.885291
0;2;-2;3.919455;0.866573;-5.952776
0;2;-2;3.906935;0.909407;-4.616513
0;3;-2;3.999053;0.477303;-13.753188
0;3;-2;3.863926;1.121968;-9.819491
0;3;-2;3.858801;1.146389;-9.734478
0;3;-2;3.853163;1.173252;-9.639462
0;4;-2;3.238731;1.550061;11.602753
0;4;-2;3.145838;1.708620;14.169092
0;5;-2;3.422082;1.243111;6.927788
0;5;-2;3.415765;1.253869;6.970295
0;5;-2;3.400752;1.279477;7.036422
0;5;-2;3.382937;1.309885;7.097832
0;5;-2;3.366529;1.337910;7.140352
0;5;-2;3.351382;1.363777;7.182868
0;5;-2;3.225590;1.587134;0.563014
0;5;-2;3.103917;1.792421;2.940651
0;5;-2;3.026745;1.923332;3.873239
0;5;-2;3.012880;1.947109;3.830755
0;5;-2;3.004061;1.962252;3.788265
0;5;-2;2.892503;2.150351;6.068392
0;5;-2;2.802505;2.308494;2.685995
0;6;-2;3.118264;1.770641;-2.481171
0;6;-2;3.075544;1.843179;-5.778629
0;6;-2;3.034295;1.914203;-5.712004
0;7;-2;3.377815;1.324036;-13.538962
0;7;-2;3.372251;1.333720;-13.422079
0;7;-2;3.327043;1.412222;-13.067850
0;7;-2;3.224109;1.591719;-9.814371
0;7;-2;3.204759;1.625413;-9.363511
0;7;-2;3.132614;1.750973;-7.885493
0;7;-2;2.834483;2.266163;-13.644460
0;7;-2;2.826272;2.281951;-8.626319
0;8;-2;2.918207;2.669447;13.669265
0;8;-2;2.716286;2.854126;9.179167
0;9;-2;2.634472;2.951379;1.514931
0;9;-2;2.617247;2.967270;1.422874
0;9;-2;2.609238;2.959835;5.996117
0;9;-2;2.571355;3.009105;1.333693
0;9;-2;2.319050;3.237996;1.189570
0;9;-2;2.300550;3.254882;1.147097
0;9;-2;2.276457;3.276694;1.147133
0;10;-2;2.587310;2.987679;-5.576433
0;11;-2;2.801543;2.794188;-7.704547
0;11;-2;2.790473;2.804275;-7.662039
0;11;-2;2.760166;2.822197;-11.649515
0;11;-2;2.679447;2.891252;-13.240703
0;12;-2;1.676512;3.177415;13.819304
0;12;-2;0.808266;3.545277;12.053320
0;13;-2;1.535447;3.229450;5.150778
0;13;-2;1.487142;3.250705;4.810820
0;13;-2;1.116183;3.413745;1.461145
0;14;-2;1.820547;3.092641;-3.778855
0;14;-2;1.377986;3.295887;-5.274018
0;14;-2;1.360720;3.302412;-2.536523
0;14;-2;1.353869;3.305515;-2.474026
0;14;-2;1.036687;3.451746;-4.669143
0;14;-2;0.973034;3.480870;-4.669167
0;14;-2;0.968349;3.480561;0.210834
0;14;-2;0.950322;3.491284;-4.711675
0;14;-2;0.932177;3.499629;-4.796682
0;15;-2;1.795605;3.111399;-7.015429
0;15;-2;1.773418;3.121342;-7.243874
0;16;-2;0.202212;3.981799;11.784916
0;17;-2;0.269622;3.991752;0.492817
0;17;-2;0.240666;3.992793;5.202859
0;17;-2;-0.064381;4.028463;2.380369
0;17;-2;-0.066520;4.028463;2.892007
0;17;-2;-0.078566;4.030149;2.190773
0;17;-2;-0.358644;4.061195;3.217701
0;17;-2;-0.354727;4.060971;2.757800
0;17;-2;-0.351541;4.059820;4.441132
0;18;-2;0.640972;3.941241;-5.423374
0;18;-2;0.579019;3.948576;-4.859195
0;19;-2;0.615888;3.953907;-10.790807
0;21;-2;-0.291458;3.684025;4.841666
0;21;-2;-0.312005;3.678233;3.916260
0;21;-2;-1.033855;3.491906;1.470835
0;21;-2;-1.127014;3.468155;1.672763
0;21;-2;-1.142735;3.464158;1.725897
0;21;-2;-1.154823;3.461091;1.778404
0;21;-2;-1.422976;3.393355;3.463557
0;21;-2;-1.437524;3.389604;3.421065
0;25;-2;-1.653470;3.729006;3.113692
0;25;-2;-1.657818;3.726562;3.156193
0;25;-2;-1.976827;3.553609;1.871299
0;25;-2;-2.041341;3.516149;3.323820
0;25;-2;-2.347687;3.347286;4.003921
0;25;-2;-2.378859;3.331005;3.451432
0;25;-2;-2.395882;3.320813;4.046437
0;25;-2;-2.444299;3.294590;3.833953
0;25;-2;-2.740700;3.129208;5.871552
0;25;-2;-2.757139;3.122030;4.609057
0;26;-2;-2.362802;3.341875;-3.849734
0;26;-2;-2.607163;3.205986;-0.471156
0;26;-2;-2.639627;3.187587;-0.768679
0;27;-2;-1.662116;3.746998;-13.375189
0;27;-2;-1.670799;3.742027;-13.332689
0;27;-2;-1.808373;3.663580;-13.049376
0;27;-2;-1.970481;3.570861;-12.367731
0;27;-2;-2.461719;3.291809;-12.652801
0;27;-2;-2.632062;3.190452;-7.116575
0;27;-2;-2.679833;3.163154;-6.946581
0;27;-2;-2.692858;3.155697;-6.882833
0;27;-2;-2.754582;3.120611;-6.891342
0;28;-2;-3.271800;1.877822;10.370505
0;29;-2;-2.499223;2.827177;5.087932
0;29;-2;-2.708527;2.574714;5.767719
0;29;-2;-2.878210;2.370406;2.818794
0;30;-2;-2.729856;2.541230;-1.382532
0;30;-2;-2.825955;2.425566;-3.462506
0;30;-2;-3.157402;2.038542;-0.917415
0;30;-2;-3.170330;2.023272;-0.959912
0;30;-2;-3.178423;2.013746;-0.959910
0;34;-2;-3.685866;1.931091;-1.060648
0;34;-2;-3.809194;1.654120;-5.640770
0;35;-2;-3.844062;1.579940;-12.727354
0;35;-2;-3.847181;1.573123;-12.769854
0;35;-2;-3.998085;1.230502;-10.090301
0;35;-2;-4.003479;1.218302;-10.012384
0;36;-2;-3.750799;0.640325;13.180838
0;36;-2;-3.792097;0.218575;12.729629
0;36;-2;-3.843773;-0.346169;14.157458
0;37;-2;-3.746442;0.834301;1.142838
0;37;-2;-3.746729;0.829315;1.507120
0;38;-2;-3.746799;0.901162;-0.427442
0;38;-2;-3.756326;0.786091;-2.082607
0;38;-2;-3.811162;0.190804;-2.219450
0;38;-2;-3.834723;-0.083874;-4.926342
0;38;-2;-3.839742;-0.138584;-4.968920
0;38;-2;-3.854436;-0.261085;0.178054
0;38;-2;-3.850208;-0.252926;-5.096582
0;38;-2;-3.852931;-0.282742;-5.139124
0;38;-2;-3.854506;-0.300111;-5.181649
0;39;-2;-3.752430;0.784887;-12.468737
0;39;-2;-3.759618;0.705362;-11.839594
0;39;-2;-3.761794;0.681833;-9.891374
0;39;-2;-3.791846;0.347534;-13.116830
0;39;-2;-3.827570;-0.048147;-11.419864
0;39;-2;-3.833237;-0.111348;-12.564951
0;40;-2;-4.266821;-0.484186;8.450629
0;40;-2;-4.159165;-0.908458;13.575957
0;40;-2;-4.021169;-1.528848;13.148037
0;41;-2;-4.061922;-1.439400;4.897802
0;42;-2;-4.250873;-0.504214;-3.238204
0;42;-2;-4.252401;-0.504467;-5.698206
