fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;2;-2;3.976869;0.555415;-2.485403
0;14;-2;1.416899;3.278354;-5.814004
0;35;-2;-3.986637;1.254550;-9.573631
0;39;-2;-3.759549;0.707670;-6.878834
0;43;-2;-4.116964;-1.150616;-8.236492
0;47;-2;-3.425021;-1.856202;-8.870375
0;81;-2;7.160787;0.707271;0.525182
0;110;-2;2.835867;6.365927;-5.337656
0;151;-2;-7.354019;2.008460;-12.303812
0;151;-2;-7.359125;2.002965;-12.346312
0;155;-2;-7.341313;1.221353;-7.472845
0;175;-2;-6.280540;-3.625154;-11.033964
0;175;-2;-6.279865;-3.630120;-11.086464
0;187;-2;-3.763128;-6.322313;-9.212448
0;255;-2;6.179054;13.349784;-4.336835
0;256;-2;7.361037;12.543299;-7.353781
0;264;-2;-7.419796;12.840632;20.625422
0;264;-2;-6.661778;13.211414;20.625572
0;264;-2;-7.839337;12.643623;16.880276
0;264;-2;-7.441345;12.838299;16.880976
0;264;-2;-6.683249;13.209106;16.886404
0;270;-2;-12.294094;9.392575;22.506392
0;270;-2;-13.089306;8.394165;20.640938
0;270;-2;-12.830787;8.719783;20.639984
0;270;-2;-12.279412;9.414295;20.621906
0;270;-2;-12.056167;9.695453;20.640417
0;270;-2;-12.838487;8.712612;19.164364
0;270;-2;-12.826633;8.728248;18.752762
0;270;-2;-12.277139;9.420398;18.731079
0;270;-2;-13.093220;8.395677;16.880560
0;270;-2;-12.833994;8.722197;16.872845
0;270;-2;-12.286777;9.411447;16.870104
0;270;-2;-11.317793;10.635084;15.026578
0;270;-2;-12.114017;9.632137;15.065160
0;270;-2;-11.614405;10.258334;16.868113
0;270;-2;-12.131793;9.606370;17.037031
0;270;-2;-11.324902;10.619751;18.751165
0;270;-2;-11.613345;10.256431;18.758047
0;270;-2;-11.319758;10.622973;20.650984
0;270;-2;-12.128394;9.604474;20.642479
0;293;-2;-12.750689;-7.750862;-16.051960
0;298;-2;-6.603671;-14.124730;-12.633718
0;320;-2;15.219366;-2.520598;4.764792
0;332;-2;22.412619;8.491004;27.001286
0;352;-2;10.409979;21.734098;-3.095635
0;361;-2;9.460774;21.850412;-13.821650
0;372;-2;-4.057716;23.245062;22.508089
0;374;-2;-7.437397;22.243343;11.536841
0;409;-2;-23.423239;4.822079;-10.523845
0;411;-2;-23.489569;4.422968;-25.469988
0;427;-2;-20.397240;-12.859762;-22.035570
0;447;-2;-8.411987;-22.996988;3.452554
0;447;-2;-8.218039;-23.053946;3.452432
0;450;-2;-8.415978;-22.736628;-16.402466
0;459;-2;0.233661;-23.846535;-23.035814
0;494;-2;23.430120;-5.661622;8.357311
0;621;-2;17.299822;34.370174;-1.093405
0;648;-2;15.709592;34.349430;-22.737520
0;844;-2;-37.375763;9.414432;-13.297505
0;872;-2;-37.603241;5.547544;-36.800568
0;900;-2;-37.113220;-8.251872;25.821972
0;901;-2;-37.473259;-7.222128;22.895411
0;959;-2;-31.864136;-20.927450;-31.242447
0;1044;-2;-8.724392;-36.938217;-22.647320
0;1209;-2;36.064480;-11.310535;22.235813
0;1211;-2;36.426949;-10.007032;14.256991
