fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;1;-2;4.055276;0.222656;3.067229
0;2;-2;4.012277;0.397066;-3.152962
0;2;-2;3.982397;0.544285;-3.726655
0;2;-2;3.899755;0.962162;-6.207739
0;3;-2;3.833974;1.263035;-12.938165
0;3;-2;3.810378;1.376572;-10.138099
0;6;-2;3.169381;1.683342;-0.199971
0;7;-2;3.416656;1.257972;-9.370888
0;7;-2;3.075234;1.850516;-7.736663
0;7;-2;3.076524;1.848306;-7.651665
0;7;-2;3.071528;1.856969;-7.651658
0;7;-2;2.953073;2.061694;-9.856497
0;10;-2;2.863001;2.736986;-5.354151
0;10;-2;2.702815;2.885672;-2.861523
0;10;-2;2.589970;2.990432;-1.091432
0;10;-2;2.571879;3.000990;-6.213922
0;11;-2;2.938430;2.659040;-12.645903
0;12;-2;0.983144;3.464507;8.055079
0;13;-2;1.237575;3.360170;1.694788
0;13;-2;0.762269;3.570281;2.096458
0;14;-2;1.439563;3.265601;-1.073994
0;14;-2;1.428380;3.270905;-1.443998
0;14;-2;1.365775;3.300616;-3.566522
0;14;-2;0.954856;3.486885;-0.086671
0;14;-2;0.835690;3.542753;-2.759216
0;16;-2;-0.178773;4.029060;8.844172
0;17;-2;0.848605;3.925574;2.614563
0;17;-2;0.838641;3.926706;2.593326
0;17;-2;0.812461;3.930162;1.512109
0;17;-2;0.184437;3.999723;3.930431
0;19;-2;0.595688;3.956795;-8.462899
0;19;-2;0.362560;3.982250;-10.964274
0;20;-2;-0.510247;3.631824;10.448870
0;26;-2;-1.784762;3.667995;-1.743070
0;26;-2;-1.913144;3.594308;-4.925664
0;26;-2;-2.485615;3.272380;-4.741905
0;30;-2;-2.887027;2.352589;-4.352489
0;30;-2;-3.012817;2.203366;-5.297455
0;31;-2;-2.536130;2.763223;-7.306677
0;31;-2;-2.949255;2.270796;-8.187728
0;31;-2;-2.976644;2.238320;-8.135215
0;34;-2;-3.662727;1.983729;-1.060625
0;34;-2;-3.674751;1.956079;-0.678137
0;34;-2;-3.929527;1.377984;-2.575888
0;35;-2;-3.892264;1.464296;-9.573614
0;38;-2;-3.752175;0.818361;-3.865063
0;38;-2;-3.783194;0.471794;-5.318056
0;41;-2;-4.171861;-0.961148;2.390252
0;42;-2;-4.076325;-1.338245;-3.621593
0;43;-2;-4.231370;-0.587596;-11.825071
0;43;-2;-4.189146;-0.805707;-8.121131
0;45;-2;-3.164321;-2.256717;1.981841
0;46;-2;-3.543995;-1.675032;-3.746558
0;47;-2;-3.383085;-1.922368;-7.789185
0;47;-2;-3.167649;-2.247444;-7.810731
0;65;-2;1.513247;-3.971386;4.432084
0;65;-2;1.517549;-3.968843;4.389583
0;65;-2;2.457273;-3.417038;1.122001
0;66;-2;1.973929;-3.691821;-5.644784
0;66;-2;2.148741;-3.593142;-3.184844
0;67;-2;1.731463;-3.830918;-11.029888
0;69;-2;2.255829;-3.104644;0.817819
0;70;-2;2.296729;-3.058868;-2.461009
0;70;-2;2.872853;-2.354793;-4.878604
0;70;-2;2.922279;-2.295105;-4.921113
0;71;-2;2.358250;-2.966606;-7.983961
0;81;-2;7.090941;0.463897;7.293543
0;82;-2;7.082212;0.476083;-3.565022
0;82;-2;7.172468;0.814138;-4.590547
0;87;-2;6.881551;1.406247;-8.964231
0;89;-2;6.518151;3.294300;2.435091
0;91;-2;6.508219;3.684131;-13.376659
0;95;-2;6.084213;3.459463;-12.652392
0;99;-2;5.249086;4.847154;-7.652617
0;102;-2;4.632000;5.250622;0.155892
0;103;-2;4.635099;5.254511;-9.142400
0;103;-2;4.312919;5.790859;-7.486708
0;105;-2;3.093291;6.750929;0.708570
0;106;-2;3.231987;6.621471;-2.394101
0;107;-2;3.700825;5.975342;-7.111861
0;107;-2;3.529754;6.208227;-7.570568
0;109;-2;2.606742;6.615818;6.106453
0;109;-2;2.533551;6.680820;6.338741
0;109;-2;1.994344;7.136901;2.819485
0;110;-2;2.813787;6.379839;-0.215133
0;110;-2;2.774915;6.424228;-4.585083
0;110;-2;1.969532;7.207037;-3.022600
0;113;-2;1.524244;6.945242;6.918063
0;113;-2;1.474990;6.971382;4.958547
0;116;-2;0.373018;7.097084;9.355338
0;120;-2;-1.042147;7.154236;8.695625
0;120;-2;-1.088137;7.166349;8.653191
0;120;-2;-1.131710;7.177826;8.610754
0;121;-2;-1.309347;7.213886;3.047579
0;122;-2;-1.067494;7.126706;-3.127681
0;123;-2;-1.189701;7.146146;-11.149261
0;123;-2;-1.194562;7.147463;-11.191757
0;125;-2;-2.636105;6.985981;3.181391
0;126;-2;-2.383636;6.946401;-4.867747
0;126;-2;-2.570654;6.972191;-0.412478
0;127;-2;-2.599329;6.979283;-8.738815
0;127;-2;-2.606799;6.980398;-8.781305
0;130;-2;-3.239308;6.477144;-1.015324
0;131;-2;-3.437747;6.463811;-6.956716
0;139;-2;-5.050169;5.250207;-11.856419
0;142;-2;-5.844991;4.405332;-6.085093
0;143;-2;-6.101165;4.267831;-13.643365
0;143;-2;-6.107772;4.264226;-13.685861
0;143;-2;-6.168878;4.232354;-8.043313
0;145;-2;-6.667756;3.292994;0.873968
0;146;-2;-6.587782;3.354260;0.178632
0;150;-2;-7.107188;2.246811;-2.509197
0;154;-2;-7.341997;1.214326;-5.000611
0;155;-2;-7.683849;0.680736;-7.982846
0;159;-2;-7.188366;0.654123;-7.643652
0;165;-2;-7.099140;-1.885848;5.866024
0;165;-2;-7.100945;-1.910046;5.936824
0;170;-2;-6.701606;-3.337969;-4.719675
0;173;-2;-6.122972;-4.360460;6.444070
0;175;-2;-6.265092;-3.735981;-12.092274
0;175;-2;-6.129098;-4.543019;-12.571299
0;186;-2;-3.240927;-6.958071;-5.272831
0;187;-2;-3.450497;-6.708325;-11.417622
0;187;-2;-3.204456;-7.012274;-13.186091
0;191;-2;-3.017447;-6.590979;-12.565254
0;191;-2;-3.013981;-6.594559;-12.607756
0;194;-2;-1.987828;-6.998518;-2.772753
0;194;-2;-1.789925;-7.125739;-2.350402
0;195;-2;-1.956642;-7.009874;-8.764708
0;198;-2;0.111793;-7.639119;-3.505120
0;199;-2;-0.632222;-7.309794;-10.210184
0;208;-2;2.590082;-6.800999;9.191403
0;211;-2;3.389692;-6.737729;-7.977767
0;213;-2;4.233306;-6.119269;3.906140
0;214;-2;3.581883;-6.270285;-3.570450
0;214;-2;4.236876;-6.113976;-2.340934
0;215;-2;4.444324;-6.074903;-13.080024
0;218;-2;5.292754;-5.303773;-4.446340
0;221;-2;5.970332;-4.442344;1.611337
0;222;-2;5.645928;-4.628871;-3.058139
0;222;-2;6.120833;-4.371160;-1.998304
0;223;-2;5.393132;-4.758050;-6.922105
0;223;-2;5.494419;-4.703789;-7.007233
0;234;-2;7.243569;-1.239938;-3.936488
0;240;-2;14.752849;1.554921;17.566185
0;242;-2;15.050287;0.168790;0.581217
0;242;-2;14.407166;3.027938;5.447665
0;243;-2;14.480096;1.590806;-6.572410
0;243;-2;14.698288;0.640978;-4.528005
0;243;-2;13.380346;6.464440;-0.000845
0;244;-2;14.014882;4.655515;-12.437302
0;245;-2;14.326625;2.217211;-15.902857
0;245;-2;14.819406;0.049923;-15.426136
0;247;-2;12.851256;8.048885;9.705813
0;248;-2;10.198037;11.735813;3.688258
0;248;-2;11.017706;10.713020;2.840630
0;248;-2;12.970003;8.276483;1.737739
0;248;-2;12.529305;8.824017;7.182884
0;250;-2;11.232160;10.436504;-13.520733
0;251;-2;10.122781;11.448919;-17.078312
0;252;-2;3.424857;14.397270;17.791510
0;252;-2;5.302701;13.506241;15.984791
0;253;-2;3.295877;14.720867;13.646254
0;253;-2;4.103023;14.338730;8.551257
0;255;-2;6.348271;13.270511;-6.891531
0;255;-2;4.720948;14.041229;-1.283640
0;255;-2;4.731153;14.037325;-3.422511
0;256;-2;6.228313;13.079984;-6.824774
0;261;-2;-0.129914;15.105869;-3.221296
0;261;-2;-2.198724;15.087777;-3.627049
0;262;-2;2.676247;15.370169;-11.976018
0;263;-2;-2.412701;15.108270;-21.105158
0;264;-2;-6.804816;13.149629;16.892658
0;265;-2;-5.594167;13.490794;8.684308
0;265;-2;-5.569942;13.500003;10.057360
0;266;-2;-6.370914;13.382479;0.741703
0;266;-2;-5.451324;13.828702;1.870893
0;266;-2;-5.396257;13.853079;3.228120
0;268;-2;-6.192844;13.475036;-11.209047
0;268;-2;-5.105986;14.001766;-7.279723
0;269;-2;-5.653970;13.482030;-14.922745
0;270;-2;-12.381897;9.285190;20.634953
0;270;-2;-12.184109;9.534313;20.634220
0;270;-2;-13.261414;8.182487;17.663448
0;270;-2;-12.190366;9.532878;16.871603
0;270;-2;-12.032180;9.735212;15.066615
0;270;-2;-12.217981;9.501255;15.026395
0;270;-2;-12.046789;9.713737;16.860807
0;270;-2;-12.238283;9.472524;16.871080
0;270;-2;-12.051208;9.704942;18.747389
0;270;-2;-12.242372;9.464139;18.760393
0;270;-2;-12.044176;9.710551;20.642370
0;270;-2;-12.232220;9.473703;20.641333
0;270;-2;-12.035631;9.718105;22.515656
0;272;-2;-14.231215;6.978527;3.405406
0;272;-2;-12.743319;8.854792;2.661460
0;273;-2;-9.952459;11.989049;0.212011
0;274;-2;-12.643342;8.988407;-9.983070
0;274;-2;-12.906949;8.660265;-13.929032
0;276;-2;-15.389132;-0.357892;19.012066
0;277;-2;-14.958741;0.543386;13.809398
0;278;-2;-13.880968;6.447656;4.647350
0;282;-2;-14.731486;-5.449025;15.430882
0;282;-2;-14.926241;-4.626460;15.265584
0;285;-2;-14.583550;-5.191417;-6.111862
0;287;-2;-15.297858;-2.310131;-19.145643
0;287;-2;-15.357597;-2.051238;-18.140240
0;288;-2;-12.121861;-8.848627;15.610267
0;291;-2;-13.471329;-6.802795;-6.734273
0;292;-2;-10.471339;-10.919716;-12.516361
0;292;-2;-10.604991;-10.752206;-12.573635
0;293;-2;-12.745078;-7.764299;-21.691729
0;293;-2;-11.817644;-8.922909;-21.622801
0;293;-2;-10.437134;-10.644440;-18.805706
0;294;-2;-4.920607;-14.900716;16.900827
0;295;-2;-7.247674;-13.548707;7.414549
0;296;-2;-8.330820;-13.296440;4.942165
0;297;-2;-3.877674;-15.153485;-2.016306
0;297;-2;-4.069518;-15.064288;-4.013268
0;298;-2;-8.192111;-13.372035;-12.154344
0;298;-2;-6.598207;-14.122741;-7.966547
0;299;-2;-4.092540;-15.059954;-15.526186
0;299;-2;-6.317453;-14.010484;-19.795473
0;299;-2;-5.285486;-14.500978;-20.499487
0;299;-2;-5.283628;-14.502065;-20.646486
0;300;-2;1.673823;-14.940156;18.490211
0;301;-2;2.088585;-14.699344;7.667067
0;302;-2;2.135792;-14.931931;7.659627
0;302;-2;3.452051;-14.927715;7.141201
0;302;-2;-3.245415;-14.945382;1.383218
0;303;-2;0.701366;-14.693804;-4.052532
0;304;-2;1.444077;-14.915861;-13.270843
0;305;-2;-1.411358;-14.687985;-21.284834
0;305;-2;-1.060264;-14.688053;-17.411644
0;306;-2;5.691058;-14.443872;22.119467
0;307;-2;8.654794;-12.738813;10.729207
0;309;-2;8.316320;-12.891801;-2.011937
0;309;-2;7.276268;-13.396929;-4.588259
0;310;-2;6.525927;-14.015802;-13.498948
0;310;-2;5.933236;-14.306618;-10.377541
0;313;-2;11.682831;-8.782921;12.640111
0;313;-2;11.275498;-9.283373;8.589411
0;313;-2;11.322918;-9.231330;14.571496
0;314;-2;11.689562;-9.136243;5.773269
0;314;-2;13.494958;-6.896011;5.110421
0;314;-2;11.507109;-9.362088;1.610108
0;315;-2;11.823579;-8.589948;-1.387052
0;316;-2;10.866152;-10.134020;-11.494123
0;316;-2;10.842983;-10.162886;-11.412711
0;316;-2;12.402575;-8.227519;-11.517908
0;316;-2;12.104276;-8.594449;-13.776608
0;318;-2;15.671702;-0.551241;22.314066
0;319;-2;15.415041;-0.628175;12.599883
