fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;0;-2;4.067861;0.172587;9.519414
0;0;-2;4.021297;0.377177;8.186228
0;0;-2;3.902118;0.920284;9.406182
0;1;-2;4.027054;0.357178;3.178539
0;1;-2;4.019820;0.391434;3.152305
0;1;-2;3.815733;1.369453;5.230245
0;3;-2;4.036979;0.299262;-8.526202
0;3;-2;3.885046;1.020805;-11.318716
0;5;-2;3.197842;1.628274;5.740544
0;5;-2;3.044503;1.893440;3.469469
0;5;-2;3.033155;1.912883;3.448232
0;5;-2;2.807024;2.298111;4.848490
0;6;-2;2.862947;2.210156;-2.400078
0;8;-2;2.973181;2.619908;14.235846
0;8;-2;2.535399;3.009487;14.073617
0;9;-2;2.849162;2.743066;5.856260
0;9;-2;2.838075;2.753240;5.813777
0;9;-2;2.817623;2.771484;5.898807
0;9;-2;2.806503;2.781551;5.898824
0;9;-2;2.789824;2.796652;5.898849
0;9;-2;2.408742;3.144534;5.006920
0;9;-2;2.325212;3.219613;5.177044
0;11;-2;2.783640;2.797616;-13.092033
0;11;-2;2.337523;3.211028;-8.438356
0;12;-2;1.891415;3.076902;8.086349
0;14;-2;1.880709;3.063875;-1.316331
0;15;-2;0.818580;3.549686;-13.253219
0;17;-2;0.451081;3.971285;0.577580
0;19;-2;-0.365549;4.063710;-11.465287
0;20;-2;-0.464279;3.645635;13.510934
0;20;-2;-0.722220;3.577538;13.248963
0;24;-2;-1.747914;3.672557;9.185184
0;25;-2;-2.037188;3.522485;0.523819
0;29;-2;-2.652820;2.642303;1.790273
0;30;-2;-2.705593;2.563760;-6.305039
0;30;-2;-3.010565;2.212527;0.017544
0;30;-2;-3.045875;2.166168;-3.897446
0;31;-2;-2.840106;2.401338;-7.667780
0;31;-2;-2.908511;2.320042;-7.657123
0;34;-2;-3.749308;1.787135;-1.525710
0;34;-2;-4.056080;1.090856;-3.549346
0;36;-2;-3.822534;-0.046415;9.929395
0;37;-2;-3.792950;0.354710;0.826664
0;38;-2;-3.767207;0.645898;-5.201559
0;39;-2;-3.808856;0.160084;-9.248578
0;41;-2;-4.016817;-1.686486;0.904864
0;42;-2;-4.248998;-0.513812;-3.450715
0;42;-2;-4.004161;-1.683097;-3.791961
0;45;-2;-3.638530;-1.509759;1.282802
0;46;-2;-3.646736;-1.518089;-3.038025
0;46;-2;-3.478853;-1.773363;-0.967931
0;53;-2;-1.740397;-3.468174;6.030002
0;66;-2;1.663814;-3.881647;-0.597181
0;66;-2;1.668167;-3.879160;-0.554683
0;66;-2;1.789438;-3.806474;-1.543890
0;69;-2;2.855057;-2.393457;4.524283
0;71;-2;2.843822;-2.378619;-8.268779
0;80;-2;7.123215;0.574298;10.626117
0;81;-2;7.064216;0.324889;1.735819
0;81;-2;7.089080;0.424498;1.629729
0;84;-2;6.910440;1.506533;12.747321
0;89;-2;6.528712;3.180971;6.337484
0;89;-2;6.509342;3.494475;4.672785
0;92;-2;5.868220;4.532192;7.698071
0;93;-2;6.040000;3.668797;4.894347
0;93;-2;5.854681;4.616262;4.558049
0;95;-2;5.915199;4.338676;-10.616428
0;95;-2;5.913446;4.348568;-10.658916
0;97;-2;5.462215;4.318274;4.602177
0;101;-2;4.298346;5.823819;5.224143
0;104;-2;3.662169;6.039543;11.086471
0;107;-2;3.767161;5.885416;-7.855724
0;118;-2;0.529476;7.016443;-3.296541
0;128;-2;-3.225065;6.526987;12.539826
0;130;-2;-3.778819;6.426361;-3.590199
0;137;-2;-5.417235;5.088176;1.578837
0;142;-2;-6.187104;4.219388;-5.289789
0;143;-2;-6.206432;4.210647;-13.324538
0;145;-2;-6.921857;3.085907;3.631138
0;147;-2;-6.958090;3.058673;-7.124840
0;150;-2;-6.724293;2.669046;-1.171694
0;150;-2;-6.727730;2.665413;-1.224194
0;152;-2;-7.471184;1.001536;9.629891
0;154;-2;-7.664504;0.702345;-5.212851
0;158;-2;-7.408404;0.154661;-2.685150
0;170;-2;-6.722836;-2.965994;-1.919350
0;171;-2;-6.727760;-2.894579;-9.753083
0;189;-2;-2.978920;-6.604280;6.764069
0;200;-2;0.305993;-7.259046;11.793224
0;201;-2;1.012729;-7.438700;4.960056
0;207;-2;2.085147;-7.188421;-13.010788
0;207;-2;2.092550;-7.189425;-13.053293
0;210;-2;2.545781;-6.786969;-3.234194
0;211;-2;3.148353;-6.752957;-7.106328
0;214;-2;4.093679;-6.147118;-1.618329
0;214;-2;4.118027;-6.141311;-1.575846
0;214;-2;4.154519;-6.132674;-1.575874
0;221;-2;5.284150;-4.829651;6.722908
0;240;-2;14.767336;1.487151;16.492390
0;240;-2;14.390853;3.168831;21.217676
0;241;-2;13.365623;6.580925;7.612686
0;241;-2;14.883802;-0.085428;12.911482
0;242;-2;14.221206;3.855727;7.122255
0;243;-2;14.758504;0.370503;-5.596956
0;243;-2;14.723967;0.539923;-2.187528
0;247;-2;13.797357;6.867281;7.710272
0;247;-2;12.126019;8.954394;13.715684
0;252;-2;7.111629;12.646268;17.266306
0;262;-2;0.296602;15.353982;-13.843919
0;264;-2;-8.195773;12.461057;20.629982
0;264;-2;-7.227110;12.934880;20.627159
0;264;-2;-6.317170;13.379976;20.626471
0;264;-2;-8.206138;12.464201;16.881815
0;264;-2;-6.332243;13.380810;16.881914
0;264;-2;-6.569899;13.256970;20.345766
0;265;-2;-8.077581;12.270962;13.040754
0;265;-2;-6.886994;12.853481;12.156024
0;265;-2;-8.077840;12.277933;9.305395
0;265;-2;-6.891493;12.856693;9.310146
0;265;-2;-4.952509;13.802662;9.300327
0;265;-2;-5.499703;13.535666;9.323090
0;265;-2;-4.946944;13.798295;13.027156
0;268;-2;-7.944543;12.620791;-12.241813
0;270;-2;-13.514426;7.858716;20.634554
0;270;-2;-12.054634;9.697392;20.635490
0;270;-2;-13.350262;8.068715;18.751215
0;270;-2;-13.520500;7.854296;18.749002
0;270;-2;-12.050925;9.705297;18.747496
0;270;-2;-13.356812;8.062426;17.606148
0;270;-2;-13.519493;7.858777;16.873077
0;270;-2;-13.354532;8.066556;16.871920
0;270;-2;-12.055359;9.702926;16.871487
0;270;-2;-11.739440;10.100848;16.866348
0;270;-2;-11.081563;10.929448;16.881857
0;270;-2;-11.736784;10.100969;18.748735
0;270;-2;-10.916377;11.134290;18.760574
0;270;-2;-11.094166;10.910372;18.752304
0;270;-2;-11.733720;10.101586;20.641674
0;270;-2;-12.360691;9.308775;22.458448
0;272;-2;-11.288603;10.691219;1.036468
0;272;-2;-11.163199;10.838887;5.660812
0;272;-2;-11.182434;10.814509;5.725755
0;275;-2;-12.783904;8.439699;-16.320150
0;277;-2;-14.732400;1.552627;13.838124
0;278;-2;-14.106788;5.445568;1.913622
0;286;-2;-15.977906;-0.392746;-11.726336
0;286;-2;-15.938613;-0.550910;-10.860317
0;286;-2;-14.495079;-6.590690;-9.980284
0;289;-2;-9.334038;-11.977469;7.676858
0;293;-2;-12.694657;-7.822793;-17.743528
0;294;-2;-6.619196;-14.091538;19.383860
0;295;-2;-5.416569;-14.417179;8.792985
0;295;-2;-9.647085;-12.408405;7.886606
0;300;-2;0.256680;-14.944601;18.553726
0;300;-2;-1.434558;-14.951380;22.295961
0;302;-2;1.770205;-14.931726;4.750303
0;302;-2;-3.402417;-14.945395;0.356997
0;306;-2;6.007816;-14.289561;21.681358
0;306;-2;6.006770;-14.290063;21.752893
0;310;-2;4.661402;-14.925992;-10.462987
0;311;-2;6.483561;-13.768682;-20.597548
0;313;-2;10.426471;-10.339446;11.624614
0;318;-2;15.713352;-0.368535;22.058157
0;318;-2;14.509092;-5.659744;20.909912
0;319;-2;15.544500;-0.059598;13.229482
0;319;-2;15.151603;-1.786064;9.898236
0;319;-2;15.093124;-2.043862;8.077954
0;321;-2;15.405412;-0.640873;-4.494918
0;322;-2;14.464958;-5.797421;-9.952811
0;325;-2;23.694471;1.206831;17.111372
0;328;-2;23.536758;0.602649;-6.597064
0;333;-2;21.826962;10.326882;22.060907
0;334;-2;21.237867;11.051953;9.181013
0;341;-2;19.320026;13.843565;20.595472
0;351;-2;14.439054;19.436783;5.320360
0;371;-2;-0.905722;24.193483;-24.915306
0;374;-2;-8.536674;21.917065;11.543016
0;376;-2;-7.485722;22.221226;0.037056
0;387;-2;-14.229071;19.707596;-23.183617
0;395;-2;-20.053198;13.219754;-28.602434
0;397;-2;-22.894066;8.456082;18.879120
0;398;-2;-22.806763;8.095726;13.689514
0;398;-2;-22.631491;8.484095;13.243029
0;398;-2;-22.802807;8.106730;12.657247
0;400;-2;-22.965237;7.770268;-0.161675
0;402;-2;-22.510500;8.818101;-16.072248
0;404;-2;-23.136948;4.895798;26.189728
0;405;-2;-23.789165;1.988953;19.040264
0;405;-2;-23.216700;6.062860;18.391638
0;407;-2;-23.466417;4.406929;3.551433
0;418;-2;-24.247105;-1.533552;-18.790689
0;426;-2;-21.554136;-9.814230;-17.273123
0;428;-2;-17.958654;-16.232309;23.548965
0;428;-2;-18.185019;-15.972504;23.473307
0;438;-2;-14.235786;-18.973940;10.936019
0;445;-2;-4.173533;-24.249708;18.263536
0;446;-2;-6.833436;-23.220501;11.067842
0;448;-2;-4.831228;-23.799414;-2.406628
0;450;-2;-8.908665;-22.588320;-21.452793
0;452;-2;-0.013255;-23.646635;26.191626
0;453;-2;-1.117005;-23.876745;18.746181
0;455;-2;2.452858;-23.865700;4.488210
0;466;-2;6.321051;-23.320940;-17.784906
0;477;-2;16.696926;-17.787819;17.920633
0;483;-2;16.149912;-18.399548;-29.212692
0;483;-2;16.151590;-18.397879;-28.683495
0;483;-2;16.147472;-18.402931;-28.154562
0;483;-2;16.148445;-18.401976;-27.828888
0;483;-2;16.148041;-18.402643;-27.448381
0;483;-2;16.150581;-18.400778;-25.398672
0;483;-2;16.148933;-18.403065;-24.685680
0;483;-2;16.150362;-18.401815;-23.911583
0;490;-2;22.313206;-7.552937;-15.684258
0;494;-2;24.021214;-1.313173;10.417343
0;494;-2;23.923334;-2.028582;9.581802
0;505;-2;37.355122;5.879544;23.636551
0;505;-2;37.392632;5.486115;23.099199
0;514;-2;37.793282;0.530847;-13.708541
0;524;-2;37.654202;7.592553;34.399620
0;552;-2;32.848579;18.535282;11.521726
0;568;-2;31.635054;21.635969;32.100571
0;572;-2;30.758606;22.783005;17.840956
0;576;-2;29.412617;24.547081;1.998943
0;619;-2;22.824533;30.974689;5.381356
0;633;-2;14.680619;34.813610;36.713249
0;775;-2;-26.161446;27.439371;-0.448062
0;785;-2;-25.066263;28.475361;-39.255062
0;789;-2;-30.284630;23.821220;31.350182
0;841;-2;-37.285652;9.937660;-3.105594
0;856;-2;-37.896145;1.998524;27.219343
0;893;-2;-38.449959;-3.818949;-32.390469
0;922;-2;-33.292713;-19.624666;25.670626
0;937;-2;-35.243359;-15.920291;-31.524910
0;954;-2;-30.655224;-22.409151;-13.695208
0;990;-2;-22.015635;-30.999334;16.311106
0;990;-2;-22.907749;-30.450562;17.711500
0;1035;-2;-6.132052;-37.480743;15.050320
0;1060;-2;3.008691;-38.487957;4.154449
0;1069;-2;-3.210190;-38.559532;-31.627996
0;1079;-2;5.663456;-37.528290;14.821784
0;1090;-2;7.863996;-37.035019;-29.531351
0;1095;-2;16.724756;-34.811329;35.708557
0;1142;-2;24.839302;-29.317745;27.076900
0;1183;-2;34.404396;-17.084236;36.119942
0;1183;-2;34.428043;-17.038603;38.053761
0;1257;-2;43.388107;1.429370;12.810633
0;1264;-2;43.397499;0.443748;-16.432423
0;1275;-2;41.730473;9.126664;37.510468
0;1278;-2;41.977310;8.383924;25.983521
0;1326;-2;35.447353;23.889990;35.524445
0;1330;-2;34.002609;26.076723;19.837145
0;1332;-2;37.001709;21.513510;12.511495
0;1384;-2;25.313141;34.451485;5.356342
0;1425;-2;15.657949;39.782028;40.874508
0;1510;-2;-4.757856;43.176392;2.182664
0;1510;-2;-6.367653;42.903225;-0.801846
0;1510;-2;-6.329820;42.909340;0.555269
0;1510;-2;-6.284420;42.916676;2.183806
0;1510;-2;-9.777745;42.322689;0.776500
0;1513;-2;-7.532550;42.768002;-9.707569
0;1514;-2;-3.964911;43.315769;-16.726973
0;1514;-2;-3.942313;43.319424;-15.917408
0;1521;-2;-8.128580;42.674454;-42.968227
0;1585;-2;-29.263779;31.486734;-0.817506
0;1594;-2;-28.235678;32.387981;-36.047791
0;1622;-2;-30.074257;31.544603;-46.073685
0;1669;-2;-40.265282;16.695406;-33.078529
0;1686;-2;-41.761810;10.173192;-3.894402
0;1702;-2;-43.518478;1.775057;30.439734
0;1744;-2;-42.783974;-4.669315;-36.655647
0;1794;-2;-39.238903;-17.664648;-35.370457
0;1803;-2;-37.351357;-22.579456;26.220789
0;1813;-2;-35.100159;-26.020798;-11.971214
0;1855;-2;-24.930464;-35.846077;18.485939
0;1931;-2;-4.812406;-42.687881;16.592409
0;1937;-2;-6.378121;-42.427990;-8.378535
0;1944;-2;-4.153543;-42.848907;-34.191563
0;1949;-2;-1.660362;-43.564209;43.848984
0;1959;-2;3.040368;-43.538208;4.077272
0;1982;-2;5.984567;-42.523609;13.673981
0;1994;-2;8.092986;-42.150051;-33.894672
0;2026;-2;17.775101;-39.160664;35.677814
0;2052;-2;27.498434;-33.602551;30.261919
0;2116;-2;36.857231;-22.812584;-21.798887
0;2116;-2;37.110142;-22.422642;-21.935934
0;2166;-2;41.548092;-12.326434;-24.624561
0;2167;-2;42.490063;-8.796434;-28.183645
1;0;-3141593;81.298805;25.694342;19.109520
1;0;-3141593;81.677711;24.804684;93.017242
1;0;-3141593;82.550613;20.700146;142.546783
1;0;-3141593;84.810623;6.608410;5.265936
1;0;-3141593;85.430771;4.227387;102.602669
1;0;-3141593;85.203194;4.599987;15.075695
1;0;-3141593;85.218140;4.512301;14.594044
1;0;-3141593;85.456833;4.077822;102.120201
1;1;-3141593;81.996811;26.220482;19.325716
1;1;-3141593;82.529343;24.431808;92.724266
1;1;-3141593;83.286682;20.965811;144.599396
1;1;-3141593;83.291481;20.913696;142.821518
1;1;-3141593;85.532928;6.865695;5.849993
1;1;-3141593;85.916222;4.890582;16.137430
1;1;-3141593;86.176575;4.348420;103.508171
1;2;-3141593;82.641769;27.032722;19.786863
1;2;-3141593;83.482246;23.458248;92.413536
1;2;-3141593;84.040039;21.106319;145.996338
1;2;-3141593;85.886429;10.820271;152.899109
1;2;-3141593;86.257652;7.111165;7.362535
1;2;-3141593;86.627022;5.189735;17.021444
1;2;-3141593;86.917442;4.486190;103.899467
1;3;-3141593;83.301193;27.772524;19.549322
1;3;-3141593;84.379433;22.775959;91.682869
1;3;-3141593;84.777328;21.336458;147.841202
1;3;-3141593;86.662605;10.782965;152.886353
1;3;-3141593;86.949516;7.531237;8.547354
1;3;-3141593;87.317444;5.610004;18.275566
1;3;-3141593;87.619209;4.851943;104.944641
1;4;-3141593;83.942039;28.597605;19.702311
1;4;-3141593;85.248444;22.243099;91.630920
1;4;-3141593;85.338013;21.732073;90.894753
1;4;-3141593;85.523933;21.504950;149.714615
1;4;-3141593;85.769463;18.040796;-12.097203
1;4;-3141593;87.416496;10.864370;152.858337
1;4;-3141593;87.670853;7.785407;9.585530
1;4;-3141593;87.668747;7.618338;-11.698063
1;4;-3141593;87.694695;7.476922;-11.346268
1;4;-3141593;87.990967;6.126470;19.764795
1;4;-3141593;88.307747;5.292532;106.251457
1;5;-3141593;84.670692;28.882484;19.888113
1;5;-3141593;86.246185;21.814724;152.292496
1;5;-3141593;86.264549;21.658804;148.592926
1;5;-3141593;86.129005;21.625820;90.874222
1;5;-3141593;86.525673;18.134844;-11.500649
1;5;-3141593;88.374123;8.146866;11.366037
1;5;-3141593;88.428398;7.656104;-10.291032
1;5;-3141593;88.685944;6.525504;21.339569
1;5;-3141593;88.702621;6.419002;20.150749
1;5;-3141593;88.994987;5.741387;107.414040
1;5;-3141593;89.027077;5.548817;106.532265
1;6;-3141593;86.989853;21.980221;153.677887
1;6;-3141593;86.979996;22.000490;151.111801
1;6;-3141593;87.029259;20.896727;90.848961
1;6;-3141593;87.299294;18.131079;-10.513832
1;6;-3141593;87.271347;18.279957;-11.494669
1;6;-3141593;87.309288;18.077469;-10.214475
1;6;-3141593;89.039749;8.712015;12.696435
1;6;-3141593;89.083794;8.451981;11.504701
1;6;-3141593;89.223915;7.488241;-9.118450
1;6;-3141593;89.218773;7.511356;-10.107565
1;6;-3141593;89.390541;6.859053;22.011364
1;6;-3141593;89.751396;5.780635;107.388290
1;7;-3141593;87.729218;22.183231;156.312271
1;7;-3141593;87.912148;20.251001;90.340904
1;7;-3141593;88.041763;18.292337;-9.538836
1;7;-3141593;89.724709;9.172487;14.162638
1;7;-3141593;89.756981;8.983910;13.499085
1;7;-3141593;89.953918;7.678572;-8.917153
1;7;-3141593;90.081284;7.278568;23.267483
1;7;-3141593;90.092667;6.895484;-10.047686
1;7;-3141593;90.429405;6.288209;109.143295
1;8;-3141593;88.461632;22.399204;157.329346
1;8;-3141593;88.464417;22.373486;156.619293
1;8;-3141593;88.862076;19.221153;89.819107
1;8;-3141593;88.819115;18.259432;-8.250691
1;8;-3141593;88.805161;18.333269;-8.884547
1;8;-3141593;90.408264;9.643542;15.835962
1;8;-3141593;90.435173;9.478805;14.655908
1;8;-3141593;90.715675;8.024302;25.219286
1;8;-3141593;90.726028;7.644533;-6.454879
1;8;-3141593;90.728561;7.625494;-7.332003
1;8;-3141593;91.144463;6.561844;109.166519
1;9;-3141593;89.183701;22.703390;160.671432
1;9;-3141593;89.189613;22.656986;159.735291
1;9;-3141593;89.633430;19.198795;89.774574
1;9;-3141593;89.598129;18.208494;-7.565512
1;9;-3141593;91.131912;9.873342;16.131840
1;9;-3141593;91.457947;8.144457;25.444214
1;9;-3141593;91.516617;7.497997;-5.321107
1;9;-3141593;91.499359;7.591116;-6.023492
1;9;-3141593;91.793716;7.238466;111.555046
1;10;-3141593;89.912109;22.938795;161.863815
1;10;-3141593;89.922897;22.862511;160.804001
1;10;-3141593;90.357590;18.268135;-6.184598
1;10;-3141593;90.766090;17.116982;88.770187
1;10;-3141593;91.817909;10.327443;17.541853
1;10;-3141593;92.154869;8.533092;26.748680
1;10;-3141593;92.255348;7.644499;-3.822581
1;10;-3141593;92.536217;7.356018;111.537315
1;11;-3141593;90.651627;23.117552;163.707077
