fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;5;-2;2.877211;2.182090;1.519660
0;6;-2;3.014052;1.950042;-2.428565
0;27;-2;-2.683479;3.166008;-12.992832
0;34;-2;-4.103767;0.982783;-4.071060
0;38;-2;-3.742690;0.918448;-4.244922
0;38;-2;-3.842563;-0.145524;-1.658926
0;38;-2;-3.843056;-0.150560;-1.616433
0;40;-2;-4.006367;-1.626857;10.225840
0;42;-2;-4.069594;-1.379602;-6.634139
0;43;-2;-4.242306;-0.546668;-9.195026
0;44;-2;-3.655481;-1.467910;8.858355
0;70;-2;2.644245;-2.646418;-1.096075
0;92;-2;5.917444;4.289622;9.466170
0;93;-2;6.047500;3.645200;0.957813
0;93;-2;6.045177;3.656930;0.991828
0;93;-2;6.041794;3.674046;1.034349
0;122;-2;-1.518013;7.246718;-4.739828
0;122;-2;-1.566073;7.260035;-4.569790
0;126;-2;-1.715838;6.853607;-3.638685
0;129;-2;-2.765532;6.564759;2.927667
0;131;-2;-2.716972;6.545470;-11.541554
0;154;-2;-7.111381;1.569453;-2.920800
0;157;-2;-7.708130;-0.501421;2.486461
0;159;-2;-7.576322;-0.151144;-11.376430
0;217;-2;5.097959;-5.379553;3.286579
0;261;-2;-3.206355;15.078753;-3.633750
0;265;-2;-5.661152;13.451237;12.303975
0;265;-2;-5.924842;13.322590;12.305729
0;269;-2;-4.657362;13.973616;-18.087099
0;283;-2;-15.521135;-1.137470;10.830402
0;286;-2;-14.826577;-5.194070;-8.884820
0;295;-2;-7.471516;-13.439591;10.183465
0;313;-2;9.245082;-11.799439;7.436142
0;313;-2;10.099530;-10.745314;12.082734
0;314;-2;11.036441;-9.946880;7.616920
0;372;-2;-10.072205;21.462118;23.799932
0;372;-2;-8.786000;21.843407;23.512300
0;375;-2;-6.842994;22.665138;1.436134
0;376;-2;-4.816398;23.013224;-2.521224
0;379;-2;-5.475186;23.071638;-25.775593
0;380;-2;-10.839879;21.614609;24.457382
0;380;-2;-10.334172;21.942747;24.481823
0;395;-2;-18.883131;14.567387;-23.969341
0;395;-2;-19.272512;14.116828;-24.073565
0;407;-2;-23.212454;6.211879;3.412003
0;413;-2;-24.447172;-1.600317;20.409002
0;425;-2;-22.832188;-7.617644;-10.534140
0;476;-2;16.629248;-17.508820;23.300383
0;481;-2;17.749580;-16.554224;-13.143170
0;490;-2;21.345608;-9.673947;-17.203064
0;490;-2;21.105343;-10.200368;-17.202707
0;491;-2;20.353798;-12.421621;-28.374470
0;629;-2;21.269783;31.924255;-32.280758
0;650;-2;15.882806;34.282425;-29.058592
0;709;-2;-7.473568;37.699932;-0.476878
0;720;-2;-12.982564;35.478630;41.423946
0;729;-2;-12.222381;35.858154;5.845128
0;742;-2;-17.566933;34.295914;42.521877
0;745;-2;-21.717396;31.787983;28.591173
0;745;-2;-21.698994;31.797758;31.088570
0;754;-2;-23.448481;30.660406;-4.652214
0;754;-2;-23.029091;30.922882;-6.063155
0;789;-2;-30.272348;23.838076;30.856632
0;838;-2;-36.507812;12.460708;8.859213
0;875;-2;-38.599148;-1.811456;35.484055
